nombre,Ciudad,Departamento,Pais,descripcion
Ricuras Rionegro,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>"
Angus Azul,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
La Lechona De Juanpis,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Rancho Paisa,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
BONA FESTA Eventos,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Estadero y tienda LA ESPERANZA,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Licorería Licoriente La 70,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Vamos Donde Oliva,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante, Cafetería</span>"
Ferretería Entel Ingenieros,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Mercado La Manuelita,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Angus Azul,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
RESTAURANTE RAPIPOLLO,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pub y bar, Restaurante</span>"
Finca Villaura,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
RESTAURANTE BAR NOA NOA,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pub y bar, Restaurante</span>"
Pizzería la Malagueña,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pizzería, Restaurante, Italiana</span>"
LUCIANA,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Comidas El Caleñito,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>"
Comidas Rápidas Deli Provocación,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>"
Kokoriko,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>"
Quesudos Qbrutales Rionegro,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Supermercado Don Santa,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Ole Restaurante Español,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Pub y bar</span>"
GOLDEN BURGUER - COMIDAS RAPIDAS / MALL - LAS DELICIAS -/ SECTOR HELICOPTERO.,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Comida rápida</span>"
Krazzy Empanada,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>"
Restaurante El Encanto,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Comidas Rápidas LOS PITUFOS,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Gualanday,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Rancho Llanogrande,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Barbacoa</span>"
Pollos Asados Mario,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Comida rápida</span>"
Restaurant Arroz Paisa,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Pollos Mario,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
La Champagneria,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Pub y bar</span>"
Asados El Blason,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Barbacoa</span>"
Pizzas Del Bosque,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pizzería, Restaurante</span>"
FIREHOUSE,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Mar Y Fruta Mariscos,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Marisco, Restaurante</span>"
Asados Bar Discoteca El Potrero,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Club, Pub y bar, Comida rápida, Restaurante</span>"
Fonda La Gotera,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Barbacoa</span>"
Restaurante Picnic Pancho Villa Sancochos Y Asados 4G,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Restaurante Ahi Picante,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
La Bagatelle Llanogrande,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Distribuidora de Lácteos Betania,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Q2 más que queso Rionegro (El Porvenir),Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Burger King Aeropuerto JMC,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>"
Restaurante Riky Pollo,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>"
Comidas Rápidas Charkumax,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>"
CUATRO GRADOS,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante, Pub y bar</span>"
Pollo Express,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
The Grill Station Burger,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Barbacoa, Restaurante</span>"
Q2 más que queso Rionegro (Santa Ana),Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>"
Pizzas Piccolo,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Pizzería</span>"
Tienda El Parche,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Restaurante Ay Mara,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>"
Restaurante chaoyang chino,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Salsamentaria Belchite,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
